國文,英文,數學,社會,自然
14,7,14,14,6
9,15,7,8,13
9,7,7,8,15
6,13,9,15,10
13,10,12,12,13
9,13,8,6,15
9,13,10,6,14
10,15,14,11,15
14,15,7,11,10
9,15,13,11,13
11,12,13,9,9
12,7,8,11,12
13,15,6,8,9
9,12,9,9,6
13,9,13,14,11
12,7,14,14,11
10,15,10,15,15
6,8,12,7,8
7,10,13,6,14
11,14,6,13,10
6,14,14,12,15
11,10,13,7,6
10,7,6,14,12
7,8,8,11,6
15,11,12,8,7
8,9,15,6,11
6,14,6,7,6
6,9,9,12,12
15,13,12,15,11
14,13,11,7,7
6,15,14,11,6
14,10,11,13,10
11,14,8,9,6
14,10,11,10,14
11,14,7,7,7
9,9,7,11,14
10,8,7,6,11
8,15,7,10,10
14,12,14,15,7
7,12,6,6,7
6,6,13,7,11
10,8,9,8,7
11,7,8,10,6
15,9,15,11,8
15,11,7,7,14
6,12,9,14,9
12,10,10,12,13
11,12,14,6,6
9,12,10,12,6
6,9,10,9,8
6,10,7,14,14
7,9,6,11,6
12,6,9,15,13
7,6,11,6,10
11,11,9,13,8
12,10,14,14,10
13,12,12,10,11
15,8,12,13,12
13,8,10,14,12
11,6,8,12,14
12,12,12,10,14
7,8,7,15,10
10,12,9,7,7
6,7,15,9,11
7,8,10,9,7
15,14,13,14,14
14,13,9,6,7
9,6,14,11,15
14,7,14,6,8
10,12,6,7,7
10,14,10,14,13
8,9,9,8,10
10,13,7,6,13
6,12,10,7,11
11,11,8,10,8
10,7,10,14,13
12,11,10,7,14
13,15,10,14,12
12,9,12,12,8
13,7,11,12,14
13,12,8,13,7
14,15,12,14,8
7,15,8,13,12
14,8,10,15,10
8,10,12,14,12
10,15,11,11,10
14,6,6,6,15
11,15,15,9,8
9,10,6,13,11
11,13,13,12,8
8,15,11,14,13
7,11,9,9,8
8,7,6,11,10
14,12,14,8,15
7,7,13,10,15
15,14,7,7,7
8,9,11,10,8
9,11,10,11,7
7,13,14,13,15
14,13,7,13,13
